country,country_code,continent_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,AF,,,,,,,,,,,107496,94701,52394,60029,62890,68471,60495,68757,77139,84878,97445,92715,105273,113714,140999,150908,152384,172312,192600,202379,203118,223875,233444,246024,256333,266810,234516,216718,196251,203454,214507,209266,207308,198018,199213,208607,219780,212841,221136,229456,256069,257527,266011,290877,306407,350176,386624,400909,429336,392376,454729,485333,505730,509635,506647,481546,495148,509187
Argentina,ARG,SA,44616,45716,41715,44491,46532,49922,51232,53921,58018,54655,58812,60724,61832,59645,62665,70379,71934,74367,76551,84110,86579,89191,90744,95838,100340,99074,99264,106117,104502,111184,111813,112691,118223,128109,136512,133327,148334,157959,168224,161921,181775,213986,252071,289539,337477,378327,489127,504991,503958,474434,471358,443034,379488,411725,450377,489787,532171,585903,625483,583469,653054,709658,714301,719807,697732,712662,705317,728999
Australia,AUS,OC,103013,99811,97966,110735,119143,125153,126852,127705,138138,147163,149499,153787,162300,173808,182566,184846,197652,206638,222428,239444,248831,258319,266362,278385,267376,272623,284996,290213,304091,314012,324801,339712,331161,351046,364944,374575,384161,415000,439722,457136,457569,456337,474817,491950,513887,540244,571190,600481,620507,651636,671467,692855,709405,740710,767738,824074,841303,864473,911606,907823,992193,1045440,1053801,1081466,1101452,1066969,1128009,1158776
Austria,AUT,EU,36627,38480,39498,41471,44488,48877,52415,55178,57406,59355,63732,67248,69116,71944,75446,77820,81793,84288,87946,92380,98280,103542,109740,115247,119242,119861,122975,128202,127644,133009,134577,134185,134766,137594,136959,140056,146680,152791,162767,171613,181740,190065,197948,202289,212298,221592,226725,238267,247708,256925,271418,265161,270676,277354,288122,315614,321835,332404,344950,329728,340517,354755,368516,365017,380426,387296,390228,402732
Bangladesh,BGD,AS,,,,,,,,,,70041,75382,74867,79339,84604,84090,82672,83464,80565,83199,86788,93162,92134,87994,75054,76819,74101,83808,89896,92659,98419,98328,100331,100119,102076,112112,117072,120220,120636,125885,140131,146363,151976,156415,160472,168110,176134,181356,181170,179823,174459,180367,185678,195513,201269,206447,215315,235274,263057,295539,321357,366847,425285,420839,444517,470342,501988,524539,565813
Belgium,BEL,EU,61648,64239,65680,67756,70911,74050,76303,77575,76507,78842,82932,87487,92209,95764,102483,106055,108980,113119,117891,125219,132609,137773,146111,156413,163766,162033,172697,175324,182147,187893,201185,191550,185380,179820,179625,170603,182809,193082,208524,213714,223369,226749,235147,236832,242840,252821,252773,264644,266385,279236,297748,298593,307108,319860,328334,366030,355959,365817,399278,386113,417618,424467,433764,430484,428196,417381,422195,438210
Brazil,BRA,SA,80391,82804,91623,94375,102504,110277,114248,124510,131614,137856,151010,171993,185061,197687,206706,220021,230854,250475,276848,282370,321682,361154,404988,460144,500564,522146,567288,580509,604118,645375,646020,669368,684661,675561,694779,731457,836687,864816,871444,890543,867731,947803,974176,1050720,1182846,1374313,1649704,1599565,1532995,1481144,1502304,1495676,1506163,1500747,1580214,1638427,1787496,1989525,2214151,2298627,2664909,2973945,3008097,3072402,3069772,2939667,2863052,2890897
Canada,CAN,NA,154594,159791,173557,181696,180710,196767,213199,218537,223618,232497,240725,250665,266827,280956,300800,319693,341128,350805,369704,389132,400152,421982,445384,478009,491544,497500,526743,545568,568299,591773,604152,624645,608658,630187,675752,693214,706094,757097,795437,825037,830794,808275,815995,835138,875644,919281,942548,980486,994217,1065701,1134444,1123685,1130735,1188608,1241961,1336711,1345517,1375001,1432776,1288310,1375939,1455169,1482480,1529679,1603789,1518240,1526436,1571421
Chile,CHL,SA,,26514,28717,29431,31431,30728,30262,33400,34734,34435,36668,35451,44291,45942,47518,45815,51342,54277,55625,59466,59757,67670,67655,65863,62777,53110,55364,60344,65028,70371,74751,78551,68438,66203,68553,68597,72061,77620,85193,93199,95448,103000,115430,123148,134237,154009,161277,164547,162741,155601,161457,160774,162057,169331,188925,212253,248030,269188,261475,266706,307459,340651,368394,379473,397893,396518,406997,410363
China,CHN,AS,,,619679,698787,639127,712868,746978,768020,754231,697278,663363,575760,632504,708080,805552,889509,922145,955684,928659,1022567,1149885,1230620,1243963,1334440,1382231,1443767,1411229,1473616,1660865,1750668,1813446,1814658,1952633,2099762,2359073,2617153,2710399,2836655,2974550,2930578,2897289,3056775,3337671,3748460,3901828,4141247,4438913,4485961,4560593,4899273,5271819,5708217,6203468,6571744,7168588,8048983,8753839,9430588,10034508,10950632,12696428,14028190,14639760,15445157,16414644,16777535,17360581,18383837
Colombia,COL,SA,37208,37792,40328,43798,47980,49812,50956,50843,50762,53779,57017,60625,63449,65295,70750,71015,74974,77788,82850,88411,95590,105741,116195,128873,139488,147568,157494,165206,177550,183985,192873,194000,194717,193691,197589,197482,209969,211994,219030,223751,231335,232195,243084,259883,274300,286441,286970,293583,286976,271456,279776,281248,284707,294976,309288,330388,363271,400766,437292,445193,488407,546815,572107,591321,610294,603890,612692,627892
Democratic Republic of Congo,COD,AF,24544,28666,30744,34877,36094,38566,39821,39369,39157,39089,41333,34905,42970,41586,37807,43098,45970,42139,45487,50768,52292,52070,50204,55343,58392,47479,43018,45265,44396,51057,52861,50524,51499,53116,61181,58802,55413,54170,58158,59840,46894,36701,49625,38979,28778,29932,26797,27556,24982,25914,23352,23340,24258,26444,29204,31771,34265,36272,35769,36784,40970,44442,51079,57348,60866,63048,60952,61856
Denmark,DNK,EU,39763,39067,39881,42485,43889,43663,44626,46937,47770,51852,55122,58610,61436,62389,67568,70553,72377,76275,80642,85854,86917,89302,93088,96662,95134,93457,98791,101248,103998,108135,108531,104552,106311,107305,109693,111434,119763,122657,122650,123439,126800,127248,132278,131244,137186,141853,147124,154915,159623,167350,177412,177287,176629,180107,189619,207050,215385,221366,235366,225949,241170,248952,244905,243575,243779,243726,248846,263028
Egypt,EGY,AF,13862,14534,13990,13989,14490,15051,15595,16248,16675,18215,19218,20107,21146,22837,25821,26774,27459,28334,31122,33598,38730,39573,42076,42083,43699,48525,50231,53305,56481,57240,59315,68846,70083,80712,89685,92199,94640,96282,94876,104974,120815,141418,155680,181920,208071,247484,298292,307760,312676,327858,338916,356590,367036,380308,399801,424141,463419,529678,631119,661270,769487,898458,915302,944215,971348,1010258,1040809,1092824
Finland,FIN,EU,23442,26394,27020,26712,29710,32151,32735,33014,33064,35609,39302,43242,44070,44430,45862,48816,50289,51740,54544,60043,64788,66026,70384,75316,78338,76220,79525,80479,84155,86233,90951,94331,94776,95955,97137,98000,104515,109541,117072,120933,122588,115160,110055,109161,113408,128297,128114,139566,150964,158631,165748,166876,165957,169135,176969,188989,192951,209585,217597,199577,206014,210941,209577,201815,201461,206622,211178,220340
France,FRA,EU,291900,307776,316244,328657,347572,366633,385280,406991,419950,431567,467831,490746,524216,557478,594798,622671,656647,689515,719227,770753,817680,865799,911440,977344,1023748,1018165,1068825,1113679,1165348,1215186,1240582,1215156,1213091,1195173,1182675,1163530,1228396,1264725,1329817,1379569,1423790,1428576,1454432,1450700,1480614,1514121,1547843,1636679,1727704,1809453,1915488,1966160,1975976,1928403,1967201,2134089,2187599,2288851,2309240,2239669,2331317,2410572,2402670,2450349,2460783,2520561,2557998,2652826
Germany,DEU,EU,319145,353262,385805,418500,455227,519978,559820,591366,610784,663107,727307,756569,784002,801580,862150,905661,930390,922322,976893,1051525,1103448,1137289,1191058,1256739,1275595,1273520,1343426,1393655,1441748,1509170,1529460,1495952,1461757,1462691,1476618,1478414,1595991,1666430,1756300,1832767,1973293,2083848,2158892,2183628,2271853,2360242,2393501,2473557,2556202,2662281,2716027,2752724,2747834,2807134,2884758,3033617,3096097,3275014,3352882,3131996,3286531,3471035,3451835,3519585,3646319,3634567,3755996,3905023
